RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
40,New Jersey,11,6107,6779,6944,7922,9215,8163,7364,6638,4968,5617,4233,3649,4591,4756,4989,6193,7570,7599,7825,7293,7158,7862,5141,3994,5862,5992,6495,8773,8153,6436,5932,5342,5114,5660,5125,4402,5326,4980,5742,6603,6500,7154,6343,5748,5040,5965,5002,4449,5113,5403,6788,6619,7464,7446,6262,6619,5472,6769,6622,5164,5468,6456,7566,7417,9229,8895,8073,8302,6439,7001,6018,4562,5569,6059,7017,7628,9488,8652,8067,8177,6609,8310,6582,5688,6654,7309,8154,10246,11937,11524,10672,10227,8519,9840,8331,8014,8637,8775,10237,11984,12173,13046,12169,11623,10123,11043,11870,8940,11245,10818,12584,14187,14155,16619,14672,14891,12924,13420,12659,10789,11182,13069,14314,15344,17027,17934,13762,15499,13287,13613,
56,Virginia,12,6534,7312,7890,8708,8854,8167,7430,7125,5209,5902,4468,4892,6400,6467,7239,9042,8908,7807,7287,7374,7355,6278,4526,4562,6794,7514,7958,8838,6862,6859,6116,5639,5659,6053,4715,4658,6569,6508,7326,8161,7207,7403,6303,5538,5537,5982,4741,5126,6631,6805,8463,8759,8201,8094,6115,6731,6610,6317,5624,5451,7152,7981,9604,10083,9802,9044,7399,7435,6335,6687,4841,5055,6552,7883,9108,9902,10157,9046,8502,8366,6660,7864,5592,5599,8725,8941,10007,11284,11827,10088,9578,9128,7310,9301,6210,7316,9463,10310,12492,13939,12050,12775,10612,9669,9251,9816,7637,7429,10588,10861,13363,14547,12295,12720,10333,10683,9312,9760,7239,7373,10757,11471,13771,14649,13928,13238,9787,11073,9625,9382,
59,Washington,13,5879,6259,6585,6804,6485,6133,5935,5301,3386,3777,3062,3310,4337,4646,5121,6762,7021,6344,6372,6858,6306,5439,3878,4344,6423,6879,6809,7286,5089,5293,5238,5033,4578,5604,4054,4062,5841,5684,6043,7083,6290,6891,6249,5955,5463,5713,4241,4825,6225,6351,7274,7530,7083,7860,6344,7048,6248,6471,5096,5233,7260,8107,9151,9373,10380,9882,8359,8250,6866,7105,5594,5637,7133,8296,9133,10083,10181,9603,9195,9597,7167,8180,5907,6507,8974,10467,10652,12737,12741,11188,11067,10280,7650,9422,6360,6746,9986,10569,12097,13564,12470,13392,12200,11113,10261,9848,7685,7176,10070,9869,12843,14666,13034,14197,12278,11931,10831,9418,7385,7638,9981,10847,12588,13538,12990,12795,9883,10740,9566,8219,
26,Massachusetts,14,4007,4722,5725,6553,6285,6338,5053,5140,3664,4157,2790,2754,3724,3850,4689,5720,6765,6218,5349,5894,5807,4897,3190,3140,4586,5505,5984,7653,4922,5075,4586,4220,4014,4890,3266,3198,4270,4445,4678,5934,5266,5721,4065,4106,4257,3549,2378,1880,3584,3223,3693,6174,5640,6180,2814,4360,4654,4266,2268,1833,2436,3092,3521,3992,4077,4102,3091,3122,2626,2939,1968,2793,3824,4738,6141,7759,7611,7220,5785,5899,4621,5326,3517,2883,3726,4319,5924,8772,9540,8217,7111,6642,5226,6360,4427,3523,4845,5619,7015,9787,5608,8948,7447,6496,4992,6655,4839,3579,5339,5404,7423,10049,8318,8976,7141,6971,6881,6231,4727,3377,4871,5732,7297,9646,8736,9181,6616,6883,6862,5867,
22,Indiana,15,5284,6280,6533,7514,8076,7436,7364,7362,5362,6665,4265,4640,5609,6048,6370,8047,8290,7624,7393,7570,7069,8099,4154,4379,6262,6820,7385,8738,6506,6260,5968,5690,5225,6381,4276,4199,5766,5649,6175,7197,6614,7231,6170,5917,5873,6628,4731,4963,6288,6157,7272,7831,7546,7668,6084,6719,5610,6065,5015,4974,5326,6207,6801,6906,7279,7433,6435,6510,5808,6424,6373,6260,7172,8163,9189,9918,10902,9692,8493,8566,6337,8291,5367,5037,6687,7534,7733,10073,10367,9756,9473,8661,7425,8918,5617,6116,8183,8734,10042,11224,10071,10769,9578,9115,8196,8452,6843,5835,9546,8855,11004,12730,10696,11972,9991,10512,9575,9349,7408,6643,8566,10285,11419,11332,11622,12165,9905,10981,9220,9218,
8,Arizona,16,6865,7821,8604,8501,8968,8249,8453,8532,6230,7956,6895,7776,10628,11313,11647,13174,13045,10943,11053,11470,10054,11265,8482,9218,12792,13098,12333,13003,10166,10238,10255,9882,9382,11316,9660,10079,14144,13608,13459,14051,11875,12822,10999,10614,10240,10750,11518,12982,15307,14749,15300,15017,14301,15087,12602,13930,12981,13500,12243,12841,15653,16159,17121,15649,15518,14883,12881,12994,11140,11610,10576,11668,13552,14143,14424,14438,13452,14104,12552,12611,10481,12252,10248,11498,14504,15119,15350,16637,15699,14021,13472,13266,10973,13104,10754,11743,15469,15590,16053,16795,15283,15811,14376,13850,13558,13925,12113,12604,17453,16053,18489,18445,15918,16858,15290,15683,14276,14564,13011,13531,17018,16696,17800,17276,16121,15845,13222,14343,12914,12014,
53,Tennessee,17,8520,8871,9393,9619,9611,8896,8063,7427,5490,5926,5201,5641,6634,7077,7268,8270,8807,8108,8010,8227,7557,7296,5370,5770,8057,8643,8512,9152,7089,7215,6678,6131,5795,5876,4940,4998,6045,6150,6988,7321,6906,7691,6907,6230,6154,6329,5715,6101,7376,7612,8488,8285,8372,8553,6772,7562,6640,7072,6338,6134,7356,8908,9310,9083,10115,9788,8442,8549,7350,7539,6576,6363,8037,8900,9406,10063,10724,9395,9641,9732,7749,8914,6618,6378,9367,9240,10039,12121,12003,11107,10777,9904,7091,9669,6981,7810,9551,10373,11338,11860,10995,11518,10339,9962,9255,9582,7610,7463,10669,9946,12194,12293,11185,12103,10337,10450,9026,9119,7774,7671,9814,10608,11995,12348,12061,12428,10122,11131,9012,8994,
32,Missouri,18,5359,6094,6710,6758,6998,6441,5908,5804,4284,4592,3422,3716,5064,5184,5382,6579,6851,6313,6121,6349,5865,5523,3468,3741,5744,6192,6626,7098,5113,4951,4733,4635,4266,4739,3733,3532,4755,4981,5438,6308,5311,6109,5324,4802,4543,4595,3869,3975,4999,5370,6107,6038,6111,6080,4723,5480,4723,5199,4710,4141,5384,6022,6514,6513,6932,6724,5856,5622,4637,4988,3882,3845,4833,5494,6028,6958,6621,6439,5876,6072,4542,5334,3971,4273,6163,6557,7075,8428,8050,7161,7510,6416,4948,6404,4918,5438,7257,7754,8545,9774,8645,8814,8008,7538,6797,6916,5969,5458,8326,8230,9918,10291,9309,9939,8442,8517,7659,7505,6422,5825,8443,8802,10902,11265,10409,10605,8775,9307,7755,6947,
27,Maryland,19,5568,5831,5698,7404,4584,5120,5368,5825,4181,4652,2905,3220,5013,4859,4646,6455,4055,5740,4326,4494,4132,4438,4269,2881,4893,4140,5230,6525,3307,6074,4679,4423,3802,3948,3684,3479,5202,4457,4288,4958,3189,3930,4079,3839,4182,4214,4408,3850,4455,4413,5794,6668,4226,6227,4238,5353,5296,4848,5439,4095,4581,5760,6553,7981,5749,7482,6587,6770,5122,5142,4908,4118,4921,5660,5033,8369,6068,7070,5987,6789,5376,6301,5469,4753,5873,6836,6918,10131,7141,7981,6802,7242,5426,7272,5468,6457,7162,6829,8742,11712,7523,9221,8446,7836,8503,8576,7534,7025,8608,8343,9824,12664,7305,10404,9174,8760,8710,8104,7901,6202,7591,8454,9680,12326,8170,10689,8684,9206,8190,7816,
60,Wisconsin,20,4014,4883,5460,6106,6354,5719,5303,5188,3477,3201,2750,2490,3416,3849,4569,5722,6275,5866,5618,5452,5083,4543,3161,2886,4540,5567,6324,7760,4548,4409,4265,4091,3913,3625,3532,2852,3875,4032,4829,5486,5012,5510,4675,4592,4221,4136,3776,3460,4430,5251,6430,6543,6267,6567,5262,6131,4723,5056,4814,3801,4612,5850,6622,7011,7782,7513,6279,6419,5752,4931,4316,3541,4760,5815,6792,7880,8408,7220,6964,7741,4765,5237,3836,3408,5340,6506,6360,9.00E+03,8672,7638,7182,6929,5281,5657,4385,4254,5644,6696,8701,10394,9233,9289,8025,7707,6539,6129,4955,4001,6062,6947,9430,10651,9656,9963,8350,8684,7366,6465,5359,4366,6172,7485,9073,10156,10148,10099,8149,8988,6857,5976,
31,Minnesota,21,3541,4254,4920,5652,5824,5429,5758,5527,3699,4265,3044,2748,3596,4044,4394,5500,6737,6149,6185,6128,5486,5759,3367,3161,4331,4775,5623,6607,5356,4285,4116,3781,3728,4158,3525,3141,4339,4383,4868,5468,5471,5873,4811,5175,4593,4753,4035,3877,4896,4677,5390,6335,6381,6575,5604,6325,5178,5522,4930,3801,4710,5612,6722,7564,8344,8647,7682,7712,5649,5919,4813,3762,4878,5608,6783,8005,8069,7780,6396,7200,5518,6202,4400,4222,5887,7574,8233,10320,9702,9048,7821,7653,6030,6775,5870,5356,6821,6905,8691,11112,9849,10687,9341,8093,7616,7328,5609,4554,6083,6516,9774,11572,10466,11033,9397,8910,8063,6946,5565,4269,6034,7137,9068,10651,11429,11020,9170,10415,8329,7176,
10,Colorado,22,6975,7621,8118,8721,9173,7963,7589,8192,5189,5453,4258,4438,5632,5691,6062,7669,7875,7071,6820,7008,6674,5977,4284,4300,6807,7112,7682,8339,6131,5776,5731,5293,5169,5620,4294,3816,5970,6051,6619,7424,6723,7292,6655,6375,5939,6121,4597,5007,6545,6994,8372,8627,8513,8845,7463,8300,7198,7187,5802,5789,7826,9030,10592,10447,11563,10702,8804,8875,6846,6768,5399,5400,7505,8957,9972,10965,11994,10426,10110,9965,7511,8442,5611,5679,8716,9827,10736,13072,12895,11249,11193,10587,7777,9724,6512,6475,9193,9616,10733,12245,11225,11820,10791,10385,9685,9644,7284,6649,9755,9652,12095,12931,11779,12424,10645,11092,9590,9174,7390,6928,9958,10455,12214,12759,12138,11946,9242,9916,8346,7591,
4,Alabama,23,3357,3691,3703,3876,3885,3644,3487,3240,2268,2784,1975,2202,2967,2905,2586,3227,3415,3129,3140,3023,3002,2963,2026,2293,3364,3557,3794,4053,3283,3107,3051,2746,2477,2633,2148,2376,3162,2908,3393,3834,3776,3988,3163,3245,2515,2930,2770,2765,3632,3836,4259,4164,4175,4112,4040,4248,3787,3787,3284,3365,4065,4439,4822,4501,5064,4898,4230,4532,4015,4150,3174,3681,4389,4971,4944,5387,5465,5287,5076,4672,3358,3926,2923,3591,4955,5184,5295,6110,6022,5307,5571,4923,4107,5015,3811,4405,5633,5516,6165,6656,5715,6018,5697,4841,4810,4991,4362,4382,6151,5949,6796,6827,6294,6785,5619,5534,4901,4774,3652,4035,5412,5467,6539,7046,6869,6854,5822,5974,4794,4780,
51,South Carolina,24,6072,6589,6265,6591,6781,6017,5630,5429,3777,4839,3622,3554,4939,4477,4627,5608,5527,5309,5059,5325,5182,5767,3677,4236,5440,5845,5487,6448,5149,5019,4408,4649,4320,5239,3728,4108,5392,4871,5267,5705,5022,5341,4804,4687,4276,5135,4266,4582,5444,5377,5771,5858,5763,6365,5050,5902,5219,5530,4789,4859,5878,6578,7370,6851,7644,7558,6330,6707,5753,6126,5027,4741,6104,6114,6709,7225,7078,6694,6643,6465,5472,6501,5335,5473,8.00E+03,7405,7503,8733,8546,7444,7429,6827,5461,6696,5409,6145,8049,7597,8879,9442,8380,8964,8270,7450,7351,7745,6414,6253,9155,7841,9314,10720,9396,10143,8302,8570,7652,8243,6927,6708,9020,9112,10089,10099,9515,10100,7385,8791,7456,7899,
25,Louisiana,25,2730,3063,4283,3860,3553,3072,2236,2497,1920,2103,1853,2027,2438,2426,2612,3233,3238,2892,2823,2838,2579,2527,1880,1874,2684,3113,3204,3312,2828,2777,2493,2317,2076,2313,2058,1934,2839,2758,3103,3947,3111,3153,2731,2466,2188,2045,2083,2080,2775,2983,3718,3609,3205,2940,2897,2963,2536,2395,2287,2078,2993,3473,3914,5418,3960,3975,3455,3491,2982,3097,2608,2822,3214,3726,4197,5976,4741,3943,3713,3897,3360,3428,2929,2804,3940,3636,3942,3965,4691,4440,3980,3631,2850,3328,2971,3094,3999,3938,4546,5008,4402,4460,3980,3791,3810,3627,3424,3174,4450,3861,4801,4837,4602,4369,3903,3863,3308,3513,2831,2688,3603,3970,6005,4466,4659,4407,3546,4001,3247,3082,
24,Kentucky,26,2844,3210,3402,3543,3820,3384,3410,3280,2130,2626,1841,2151,2736,2923,2998,4054,4003,3640,3759,3801,3405,3443,2490,2587,3604,3781,4290,4645,3609,3189,3170,2754,2600,2786,2481,2393,2981,2952,3075,3456,3161,3510,3148,2776,2789,2929,2454,2484,3047,3218,3678,3006,3501,3028,3110,3464,3108,3223,2903,2677,3374,3962,4563,4466,4991,4504,4082,4179,3400,3207,2905,2680,3206,3858,4180,4262,4321,4051,3598,3700,2940,3228,2577,2543,3402,3908,4229,5202,5218,4818,4522,3657,2648,2770,3133,3121,4080,4611,5264,5798,5094,5759,5082,4706,4629,4522,3844,3608,5023,4488,5574,5955,5403,5867,4901,4931,4330,4088,3859,3279,4413,4967,5527,5759,5788,6305,5037,5028,4326,3837,
46,Oregon,27,3555,3573,3938,3986,3975,3777,3588,3375,2409,2395,1847,2086,2822,2932,3179,4059,4346,3987,4046,4448,3932,3581,2470,2550,3944,4268,4370,4432,3309,3380,3461,3203,3039,3373,2587,2550,3581,3364,3620,4024,3567,3803,3431,3230,3102,3308,2699,2867,3554,3713,4304,4476,4156,4712,3926,4315,3648,3784,2958,3076,4030,4369,5247,5272,5444,5588,4704,4643,3853,3334,3222,3202,4020,4653,5347,5723,5897,5596,5343,5580,4306,4718,3567,3852,5313,6168,6382,7698,7725,7035,6954,6432,5095,5792,4445,4499,6041,6127,7006,7751,6812,7499,6996,6505,6012,6085,4809,4338,5897,5699,7050,8032,7056,7821,6775,6732,5915,5713,4667,4693,6054,6178,7077,7439,7013,7549,5696,6304,5467,4636,
45,Oklahoma,28,3032,3544,3631,3775,4243,3658,3636,3617,2498,2847,1978,2313,2992,3115,3158,3722,4003,3495,3434,3213,3207,2932,1851,2022,3034,3598,3652,3844,2767,2729,2665,2433,2324,2550,2140,1978,2816,2802,2983,3649,3047,3404,2951,2795,2763,2779,2530,2756,3172,3467,3971,4293,4077,3977,3297,3378,2989,3404,2814,2711,3594,4145,4192,4651,4725,4610,4001,3416,2759,2836,2567,2480,3463,3335,4026,4491,4251,4129,3640,3671,2885,3896,2791,2793,4021,3933,4139,4424,4391,3999,3529,3129,2382,2770,3256,3394,4521,4607,5203,5267,4796,5342,4566,4213,3829,4029,3519,3424,5143,4678,5882,6030,5125,6133,4911,4611,4112,4097,3745,3335,4306,4343,5258,5488,5336,5709,4699,5071,4268,4302,
11,Connecticut,29,2232,2302,2735,3265,3236,2848,2482,2435,1860,1813,1200,1154,1585,1676,2037,2831,3236,3042,2625,2816,3078,2574,1590,1539,2369,2504,2911,3997,2533,2467,2049,1566,1869,2029,1508,1325,1846,1781,2282,2940,2291,2155,1938,1897,1426,1690,984,1059,1820,1401,2123,2745,2944,2850,1717,2311,2227,2412,1782,1186,1903,2472,2909,3186,3759,3420,2784,2775,2464,2623,1853,1610,2123,2346,2638,3539,3858,3342,3005,3049,2453,2917,1875,1844,2397,2607,3060,4203,4483,4044,3646,3279,2707,3176,2212,1873,2736,2929,3581,4332,3016,4543,3424,3462,2550,3344,2702,2220,2796,3008,3881,4706,4312,4545,3511,3698,3166,3034,2642,2104,2589,3302,3890,4537,4706,4477,3232,3503,2954,3149,
19,Iowa,30,2154,2444,2880,3253,3153,3026,2758,2645,1814,2101,1287,1357,1982,2103,2420,3375,3110,2682,2676,2733,2707,2039,1390,1390,2300,2790,3169,3858,2035,2150,2027,1995,1908,2090,1422,1362,1972,2187,2571,3025,2581,2995,2510,2402,2319,2315,1773,1831,2476,2740,3545,3888,3386,3565,2778,3300,2720,2788,2131,1936,2573,2912,3799,4174,4491,4306,3452,3600,3117,3174,2199,1942,2613,3220,4014,4837,4287,3941,3540,3532,2784,3217,2108,2164,3106,3427,4153,5318,4784,4348,3874,3674,2766,2966,2326,2311,3051,3395,4307,5352,4449,4582,3918,3663,3334,3353,2695,2504,3657,3790,4727,5674,4565,4826,4093,4040,4071,3889,2579,1998,3318,3692,4807,5272,4873,5188,4050,4515,3698,2800,
34,Mississippi,31,1002,1142,1103,1081,1191,1091,921,1015,716,1017,635,704,1096,1076,1091,1471,1477,1378,1429,1448,1433,1504,847,942,1237,1411,1554,1505,1233,1168,1122,1155,1163,1323,928,947,1275,1289,1440,1467,1335,1528,1417,1357,1233,1237,875,831,1163,1165,1485,1443,1385,1408,1128,1396,1212,1210,1077,1047,1141,1212,1456,1369,1586,1826,1515,1506,1270,1399,915,1180,1333,1510,1625,1660,1798,1799,1517,1341,1024,1287,1002,924,1522,1518,1733,1997,2053,1827,1667,1783,1382,1517,1470,1468,1868,1954,1984,2221,2182,2457,1931,1925,1837,2105,1331,1276,1821,1625,2091,2156,1825,1953,1568,1546,1411,1602,1230,1058,1511,1550,1943,1927,1945,1881,1379,1597,1432,,
